work_id,canonical_title_ar,canonical_title_en,alternate_titles,author_id,author_name_ar,author_name_en,author_death_hijri,category_primary,category_secondary,subjects,era,language_original,description_short,work_status,bibliographic_source,bibliographic_source_url
0060SuwaydIbnAbiKahil.Diwan,ديوان سويد بن أبي كاهل اليشكري,Diwan,,Suwayd Ibn Abi Kahil,ابن أبي كاهل,Suwayd Ibn Abi Kahil,0060,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0060AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0063AbuDihbilJumahi.Diwan,ديوان أبي دهبل الجمحي,Diwan,ديوان أبي دهبل الجمحي (رواية أبي عمرو الشيباني),Abu Dihbil Jumahi,أبو دهبل الجمحي,Abu Dihbil Jumahi,0063,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0063AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0068CabdAllahIbnCabbas.GharibQuran,غريب القرآن في شعر العرب ((مسائل نافع بن الأزرق لعبد الله بن عباس - رضي الله عنه وعن أبيه)),Gharib Quran,,Cabd Allah Ibn Cabbas,عن الصحابي عبد الله بن عباس بن عبد المطلب القرشي الهاشمي، أبو العباس (المتوفى: 68هـ) - رضي الله عنهما,Cabd Allah Ibn Cabbas,0068,A-القرآن الكريم وعلومه,علوم القرآن,علوم القرآن,d.0068AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0068QaysIbnDharihLubna.Diwan,ديوان قيس لبنى,Diwan,,Qays Ibn Dharih Lubna,قيس لبنى,Qays Ibn Dharih Lubna,0068,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0068AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0068QaysMajnunLayla.Diwan,ديوان مجنون ليلى,Diwan,,Qays Majnun Layla,مجنون ليلى,Qays Majnun Layla,0068,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0068AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0080LaylaAkhyaliyya.Diwan,ديوان ليلى الأخيلية,Diwan,,Layla Akhyaliyya,ليلى الأخيلية,Layla Akhyaliyya,0080,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0080AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0080UqayshirAsadi.Diwan,ديوان الأقيشر السعدي,Diwan,,Uqayshir Asadi,الأقيشر السعدي,Uqayshir Asadi,0080,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0080AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0082JamilButhayna.Diwan,ديوان جميل بثينة,Diwan,,Jamil Buthayna,جميل بثينة,Jamil Buthayna,0082,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0082AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0085SulaymIbnQaysHilali.KitabSulaym,كتاب سليم بن قيس,Kitab Sulaym,,Sulaym Ibn Qays Hilali,تحقيق محمد باقر الأنصاري,Sulaym Ibn Qays Hilali,0085,J-الفقه,فقه,فقه,d.0085AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0090AkhtalShacir.Diwan,ديوان الأخطل,Diwan,,Akhtal Shacir,الأخطل,Akhtal Shacir,0090,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0090AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0090RaciNumayriShacir.Diwan,ديوان الراعي النميري,Diwan,,Raci Numayri Shacir,الراعي النميري,Raci Numayri Shacir,0090,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0090AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0090WaddahYaman.Diwan,ديوان وضاح اليمن,Diwan,,Waddah Yaman,وضاح اليمن,Waddah Yaman,0090,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0090AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0093IbnAbiRabica.Diwan,ديوان عمر ابن أبي ربيعة,Diwan,,Ibn Abi Rabica,عمر ابن أبي ربيعة,Ibn Abi Rabica,0093,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0093AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0095CadiIbnRiqac.Diwan,ديوان عدي بن الرقاع,Diwan,,Cadi Ibn Riqac,عدي بن الرقاع,Cadi Ibn Riqac,0095,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0095AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0104MujahidIbnJabr.Tafsir,تفسير مجاهد,Tafsir,,Mujahid Ibn Jabr,مجاهد,Mujahid Ibn Jabr,0104,B-التفسير,تفسير,تفسير,d.0104AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0105AhwasAnsari.Diwan,ديوان الأحوص,Diwan,,Ahwas Ansari,الأحوص,Ahwas Ansari,0105,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0105AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0105KuthayyirCazza.Diwan,ديوان كثير عزة,Diwan,,Kuthayyir Cazza,كثير عزة,Kuthayyir Cazza,0105,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0105AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0110Farazdaq.Diwan,ديوان الفرزدق,Diwan,,Farazdaq,الفرزدق,Farazdaq,0110,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0110AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0110HasanBasri.FadailMakka,فضائل مكة,Faḍāʾil Makkaŧ,,Hasan Basri,الحسن البصري,Hasan Basri,0110,H-التراجم والطبقات,تراجم وطبقات,تراجم وطبقات,d.0110AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0110HasanBasri.TarghibMakka,الترغيب في الإقامة بمكة للحسن البصري,Targhib Makka,الترغيب في الإقامة بمكة للحسن البصري,Hasan Basri,الحسن البصري,Hasan Basri,0110,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0110AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0110IbnSirin.MuntakhabKalamFiTafsirAhlam,منتخب الكلام في تفسير الأحلام,Muntakhab Kalam Fi Tafsir Ahlam,,Ibn Sirin,ابن سيرين,Ibn Sirin,0110,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0110AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0110JarirShacir.Diwan,ديوان جرير,Diwan,,Jarir Shacir,جرير,Jarir Shacir,0110,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0110AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0117DhuRumma.Diwan,ديوان ذو الرمة,Diwan,,Dhu Rumma,ذو الرمة,Dhu Rumma,0117,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0117AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0117IbnDicamaSadusi.NasikhWaMansukh,الناسخ والنسوخ,Nasikh Wa Mansukh,الناسخ والمنسوخ للسدوسي,Ibn Dicama Sadusi,قتادة بن دعامة بن قتادة السدوسي أبو الخطاب,Ibn Dicama Sadusi,0117,B-التفسير,تفسير,تفسير,d.0117AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
0122ZaydIbnCali.MajmucRasail,مجموع رسائل الإمام زيد بن علي عليهم السلام,Majmuc Rasail,,Zayd Ibn Cali,زيد بن علي بن الحسين بن علي بن أبي طالب,Zayd Ibn Cali,0122,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,d.0122AH,ara,OpenITI 2025.1.9 provider metadata,VERIFIED_PROVIDER_METADATA,OpenITI 2025.1.9,https://zenodo.org/records/17767721
