duplicate_group_id,work_id,version_count,digital_version_ids,duplicate_basis
dup_openiti_work_0130IbnBashirKhariji.Diwan,openiti_work_0130IbnBashirKhariji.Diwan,2,"[""openiti_dv_0130IbnBashirKhariji.Diwan.JK007627-ara1"",""openiti_dv_0130IbnBashirKhariji.Diwan.ShamAY0037855-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0132HammamIbnMunabbih.Sahifa,openiti_work_0132HammamIbnMunabbih.Sahifa,3,"[""openiti_dv_0132HammamIbnMunabbih.Sahifa.JK000489-ara1"",""openiti_dv_0132HammamIbnMunabbih.Sahifa.Shamela0007776-ara1"",""openiti_dv_0132HammamIbnMunabbih.Sahifa.Shia001878-ara2""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0139IbnMuqaffac.AdabKabir,openiti_work_0139IbnMuqaffac.AdabKabir,2,"[""openiti_dv_0139IbnMuqaffac.AdabKabir.JK009203-ara1"",""openiti_dv_0139IbnMuqaffac.AdabKabir.Shamela0007528BK2-ara2""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0139IbnMuqaffac.KalilaWaDimna,openiti_work_0139IbnMuqaffac.KalilaWaDimna,2,"[""openiti_dv_0139IbnMuqaffac.KalilaWaDimna.LAL2022011101-ara2"",""openiti_dv_0139IbnMuqaffac.KalilaWaDimna.Shamela0026537-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0145MufaddalIbnCumarJucfi.Tawhid,openiti_work_0145MufaddalIbnCumarJucfi.Tawhid,4,"[""openiti_dv_0145MufaddalIbnCumarJucfi.Tawhid.Masaha004555-ara1"",""openiti_dv_0145MufaddalIbnCumarJucfi.Tawhid.Rafed0000725-ara1"",""openiti_dv_0145MufaddalIbnCumarJucfi.Tawhid.Shia001267-ara1"",""openiti_dv_0145MufaddalIbnCumarJucfi.Tawhid.Zaydiyya0000117-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0150AbuHanifa.FiqhAbsat,openiti_work_0150AbuHanifa.FiqhAbsat,2,"[""openiti_dv_0150AbuHanifa.FiqhAbsat.JK006837-ara1"",""openiti_dv_0150AbuHanifa.FiqhAbsat.Shamela0006387-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0150AbuHanifa.FiqhAkbar,openiti_work_0150AbuHanifa.FiqhAkbar,2,"[""openiti_dv_0150AbuHanifa.FiqhAkbar.JK001085-ara1"",""openiti_dv_0150AbuHanifa.FiqhAkbar.Shamela0006388-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0150IbnJurayj.Juz,openiti_work_0150IbnJurayj.Juz,2,"[""openiti_dv_0150IbnJurayj.Juz.JK011476-ara1"",""openiti_dv_0150IbnJurayj.Juz.ShamAY0033605-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0150MuqatilIbnSulayman.TafsirMuqatil,openiti_work_0150MuqatilIbnSulayman.TafsirMuqatil,5,"[""openiti_dv_0150MuqatilIbnSulayman.TafsirMuqatil.JK007096-ara1"",""openiti_dv_0150MuqatilIbnSulayman.TafsirMuqatil.ShamAY0034072-ara1"",""openiti_dv_0150MuqatilIbnSulayman.TafsirMuqatil.Shamela0023614-ara2"",""openiti_dv_0150MuqatilIbnSulayman.TafsirMuqatil.Shia002459Vols-ara1"",""openiti_dv_0150MuqatilIbnSulayman.TafsirMuqatil.Tafsir02067-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0150SalihIbnJinahLakhmi.AdabMurua,openiti_work_0150SalihIbnJinahLakhmi.AdabMurua,2,"[""openiti_dv_0150SalihIbnJinahLakhmi.AdabMurua.Sham19Y0017869-ara1"",""openiti_dv_0150SalihIbnJinahLakhmi.AdabMurua.ShamAY0038879-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0151IbnIshaq.Sira,openiti_work_0151IbnIshaq.Sira,4,"[""openiti_dv_0151IbnIshaq.Sira.JK001038-ara1"",""openiti_dv_0151IbnIshaq.Sira.Masaha002221-ara1"",""openiti_dv_0151IbnIshaq.Sira.Shamela0009862-ara2"",""openiti_dv_0151IbnIshaq.Sira.Shia003660Vols-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0151MacmarIbnRashid.Jamic,openiti_work_0151MacmarIbnRashid.Jamic,2,"[""openiti_dv_0151MacmarIbnRashid.Jamic.JK000746-ara1"",""openiti_dv_0151MacmarIbnRashid.Jamic.Shamela0005610-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0156IbnAbiCuruba.Manasik,openiti_work_0156IbnAbiCuruba.Manasik,2,"[""openiti_dv_0156IbnAbiCuruba.Manasik.JK011437-ara1"",""openiti_dv_0156IbnAbiCuruba.Manasik.Shamela0009811-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0161SufyanThawri.Faraid,openiti_work_0161SufyanThawri.Faraid,2,"[""openiti_dv_0161SufyanThawri.Faraid.Shamela0026488-ara1"",""openiti_dv_0161SufyanThawri.Faraid.Shia001879-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0161SufyanThawri.Tafsir,openiti_work_0161SufyanThawri.Tafsir,4,"[""openiti_dv_0161SufyanThawri.Tafsir.JK000457-ara1"",""openiti_dv_0161SufyanThawri.Tafsir.Shamela0002229-ara1"",""openiti_dv_0161SufyanThawri.Tafsir.Shia002462-ara1"",""openiti_dv_0161SufyanThawri.Tafsir.Tafsir02099-ara1""]",Same OpenITI work URI; retain versions separately.
dup_openiti_work_0167BashsharIbnBurdShacir.Diwan,openiti_work_0167BashsharIbnBurdShacir.Diwan,2,"[""openiti_dv_0167BashsharIbnBurdShacir.Diwan.JK007613-ara1"",""openiti_dv_0167BashsharIbnBurdShacir.Diwan.ShamAY0037930-ara1""]",Same OpenITI work URI; retain versions separately.
