person_id,canonical_name_ar,canonical_name_en,kunya,nisba,known_as,birth_year_hijri,death_year_hijri,birth_year_ce,death_year_ce,era,region,roles,schools,teachers,students,works_count,authority_ids,wikidata_id,viaf_id,isni_id,openiti_person_id,biography_sources
openiti_person_1061NajmDinGhazzi,نجم الدين محمد الغزي,Najm Din Ghazzi,,,Naǧm al-Dīn Muḥammad al-Ġazzī,,1061,,,OpenITI date code 1061,,"[""author""]",[],[],[],2,[],,,,1061NajmDinGhazzi,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1062CabdAllahSharafi,,Cabd Allah Sharafi,,,,,1062,,,OpenITI date code 1062,,"[""author""]",[],[],[],1,[],,,,1062CabdAllahSharafi,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1062NurDinMusawiCamili,محمد أمين الإسترآبادي ، السيد نور الدين العاملي,Nur Din Musawi Camili,,,,,1062,,,OpenITI date code 1062,,"[""author""]",[],[],[],1,[],,,,1062NurDinMusawiCamili,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1064ShamsaJilani,شمسا الجيلاني,Shamsa Jilani,,,Šamsā al-Ǧīlānī,,1064,,,OpenITI date code 1064,,"[""author""]",[],[],[],1,[],,,,1064ShamsaJilani,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1064ShaykhCaliGilani,شيخ علي گيلاني,Shaykh Cali Gilani,,,Šayḫ ʿAlī Gīlānī,,1064,,,OpenITI date code 1064,,"[""author""]",[],[],[],1,[],,,,1064ShaykhCaliGilani,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1066IbnYusufZaynCabidinKurani,زين العابدين بن يوسف بن محمد بن زين العابدين بن طاهر بن صدر الدين محمد بن إسماعيل -الكوراني الكردي الحنفي (المتوفى بعد 1066 هـ),Ibn Yusuf Zayn Cabidin Kurani,,,,,1066,,,OpenITI date code 1066,,"[""author""]",[],[],[],1,[],,,,1066IbnYusufZaynCabidinKurani,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1066MuhammadSadiqHamadani,محمد صديق همداني,Muhammad Sadiq Hamadani,,,Muḥammad Ṣadīq Hamadānī,,1066,,,OpenITI date code 1066,,"[""author""]",[],[],[],1,[],,,,1066MuhammadSadiqHamadani,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1067HajjiKhalifa,حجي خليف، كاتب چeلeبي,Hajji Khalifa,,,"Ḥaǧǧī Ḫalīfa, Kātib Čelebī",,1067,,,OpenITI date code 1067,,"[""author""]",[],[],[],2,[],,,,1067HajjiKhalifa,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1068IbnCaliFuwati,,Ibn Cali Fuwati,,,,,1068,,,OpenITI date code 1068,,"[""author""]",[],[],[],1,[],,,,1068IbnCaliFuwati,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1068KhwajagiIsfahani,محمد معصوم خواجگي اصفهاني,Khwajagi Isfahani,,,Muḥammad Maʿṣūm Ḫwāǧagī Iṣfahānī,,1068,,,OpenITI date code 1068,,"[""author""]",[],[],[],1,[],,,,1068KhwajagiIsfahani,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
