person_id,canonical_name_ar,canonical_name_en,kunya,nisba,known_as,birth_year_hijri,death_year_hijri,birth_year_ce,death_year_ce,era,region,roles,schools,teachers,students,works_count,authority_ids,wikidata_id,viaf_id,isni_id,openiti_person_id,biography_sources
0110Farazdaq,الفرزدق,Farazdaq,NULL,NULL,NULL,NULL,0110,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0110Farazdaq,OpenITI 2025.1.9
0110HasanBasri,الحسن البصري,Hasan Basri,NULL,NULL,al-Ḥasan al-Baṣrī,NULL,0110,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,0110HasanBasri,OpenITI 2025.1.9
0110IbnSirin,ابن سيرين,Ibn Sirin,NULL,NULL,NULL,NULL,0110,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0110IbnSirin,OpenITI 2025.1.9
0110JarirShacir,جرير,Jarir Shacir,NULL,NULL,NULL,NULL,0110,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0110JarirShacir,OpenITI 2025.1.9
0117DhuRumma,ذو الرمة,Dhu Rumma,NULL,NULL,NULL,NULL,0117,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0117DhuRumma,OpenITI 2025.1.9
0117IbnDicamaSadusi,قتادة بن دعامة بن قتادة السدوسي أبو الخطاب,Ibn Dicama Sadusi,NULL,NULL,NULL,NULL,0117,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0117IbnDicamaSadusi,OpenITI 2025.1.9
0122ZaydIbnCali,زيد بن علي بن الحسين بن علي بن أبي طالب,Zayd Ibn Cali,NULL,NULL,NULL,NULL,0122,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,0122ZaydIbnCali,OpenITI 2025.1.9
0124IbnShihabZuhri,ابن شهاب الزهري,Ibn Shihab Zuhri,NULL,NULL,NULL,NULL,0124,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0124IbnShihabZuhri,OpenITI 2025.1.9
0125NabighaShaybani,النابغة الشيباني,Nabigha Shaybani,NULL,NULL,NULL,NULL,0125,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0125NabighaShaybani,OpenITI 2025.1.9
0125Tirimmah,الطرماح,Tirimmah,NULL,NULL,NULL,NULL,0125,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0125Tirimmah,OpenITI 2025.1.9
0126KumaytIbnZaydAsadi,كميت بن زيد الأسدي,Kumayt Ibn Zayd Asadi,NULL,NULL,NULL,NULL,0126,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0126KumaytIbnZaydAsadi,OpenITI 2025.1.9
0128IbnAbiHabibMisri,يزيد بن أبى حبيب سويد الأزدى أبو رجاء المصرى مولى شريك بن الطفيل الأزدى (المتوفى: 128هـ),Ibn Abi Habib Misri,NULL,NULL,NULL,NULL,0128,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0128IbnAbiHabibMisri,OpenITI 2025.1.9
0130CurwaIbnUdhayna,عروة بن أذينة,Curwa Ibn Udhayna,NULL,NULL,NULL,NULL,0130,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0130CurwaIbnUdhayna,OpenITI 2025.1.9
0130IbnBashirKhariji,محمد بن بشير الخارجي,Ibn Bashir Khariji,NULL,NULL,NULL,NULL,0130,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0130IbnBashirKhariji,OpenITI 2025.1.9
0131ZubayrHamdani,الزبير بن عدي أبو عدي الهمداني اليامي الكوفي، قاضي الري (المتوفى: 131هـ),Zubayr Hamdani,NULL,NULL,NULL,NULL,0131,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0131ZubayrHamdani,OpenITI 2025.1.9
