work_id,canonical_title_ar,canonical_title_en,alternate_titles,author_id,author_name_ar,author_name_en,author_death_hijri,category_primary,category_secondary,subjects,era,language_original,description_short,work_status,bibliographic_source,bibliographic_source_url
0041LabidIbnRabica.Diwan,ديوان لبيد بن ربيعة العامري,Diwan,NULL,0041LabidIbnRabica,لبيد بن ربيعة العامري,Labid Ibn Rabica,0041,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0041LabidIbnRabica.Mucallaqa,معلقة لبيد بن ربيعة,Mucallaqa,NULL,0041LabidIbnRabica,لبيد بن ربيعة,Labid Ibn Rabica,0041,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0045JarwalIbnAwsHutaya.Diwan,ديوان الحطيئة,Diwan,NULL,0045JarwalIbnAwsHutaya,الحطيئة,Jarwal Ibn Aws Hutaya,0045,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0050KhirniqBintBadr.Diwan,ديوان الخرنق بنت بدر,Diwan,NULL,0050KhirniqBintBadr,الخرنق بنت بدر,Khirniq Bint Badr,0050,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0054HassanIbnThabit.Diwan,ديوان حسان بن ثابت,Diwan,NULL,0054HassanIbnThabit,حسان بن ثابت,Hassan Ibn Thabit,0054,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0060MucawiyaIbnAbiSufyan.Diwan,ديوان معاوية بن أبي سفيان,Diwan,NULL,0060MucawiyaIbnAbiSufyan,معاوية بن أبي سفيان,Mucawiya Ibn Abi Sufyan,0060,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0060SuwaydIbnAbiKahil.Diwan,ديوان سويد بن أبي كاهل اليشكري,Diwan,NULL,0060SuwaydIbnAbiKahil,ابن أبي كاهل,Suwayd Ibn Abi Kahil,0060,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0063AbuDihbilJumahi.Diwan,ديوان أبي دهبل الجمحي,Diwan,NULL,0063AbuDihbilJumahi,أبو دهبل الجمحي,Abu Dihbil Jumahi,0063,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0068CabdAllahIbnCabbas.GharibQuran,غريب القرآن في شعر العرب ((مسائل نافع بن الأزرق لعبد الله بن عباس - رضي الله عنه وعن أبيه)),Gharib Quran,NULL,0068CabdAllahIbnCabbas,عن الصحابي عبد الله بن عباس بن عبد المطلب القرشي الهاشمي، أبو العباس (المتوفى: 68هـ) - رضي الله عنهما,Cabd Allah Ibn Cabbas,0068,A-القرآن الكريم وعلومه,علوم القرآن,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0068QaysIbnDharihLubna.Diwan,ديوان قيس لبنى,Diwan,NULL,0068QaysIbnDharihLubna,قيس لبنى,Qays Ibn Dharih Lubna,0068,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0068QaysMajnunLayla.Diwan,ديوان مجنون ليلى,Diwan,NULL,0068QaysMajnunLayla,مجنون ليلى,Qays Majnun Layla,0068,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
