duplicate_group_id,work_id,reason,digital_version_ids,count
openiti:0125Tirimmah.Diwan,0125Tirimmah.Diwan,Multiple OpenITI digital versions of one work,0125Tirimmah.Diwan.JK007546-ara1 | 0125Tirimmah.Diwan.ShamAY0037894-ara1,2
openiti:0130CurwaIbnUdhayna.Diwan,0130CurwaIbnUdhayna.Diwan,Multiple OpenITI digital versions of one work,0130CurwaIbnUdhayna.Diwan.JK007554-ara1 | 0130CurwaIbnUdhayna.Diwan.ShamAY0037958-ara1,2
openiti:0130IbnBashirKhariji.Diwan,0130IbnBashirKhariji.Diwan,Multiple OpenITI digital versions of one work,0130IbnBashirKhariji.Diwan.JK007627-ara1 | 0130IbnBashirKhariji.Diwan.ShamAY0037855-ara1,2
openiti:0132HammamIbnMunabbih.Sahifa,0132HammamIbnMunabbih.Sahifa,Multiple OpenITI digital versions of one work,0132HammamIbnMunabbih.Sahifa.JK000489-ara1 | 0132HammamIbnMunabbih.Sahifa.Shamela0007776-ara1 | 0132HammamIbnMunabbih.Sahifa.Shia001878-ara2,3
openiti:0139IbnMuqaffac.AdabKabir,0139IbnMuqaffac.AdabKabir,Multiple OpenITI digital versions of one work,0139IbnMuqaffac.AdabKabir.JK009203-ara1 | 0139IbnMuqaffac.AdabKabir.Shamela0007528BK2-ara2,2
openiti:0139IbnMuqaffac.KalilaWaDimna,0139IbnMuqaffac.KalilaWaDimna,Multiple OpenITI digital versions of one work,0139IbnMuqaffac.KalilaWaDimna.LAL2022011101-ara2 | 0139IbnMuqaffac.KalilaWaDimna.Shamela0026537-ara1,2
openiti:0145MufaddalIbnCumarJucfi.Tawhid,0145MufaddalIbnCumarJucfi.Tawhid,Multiple OpenITI digital versions of one work,0145MufaddalIbnCumarJucfi.Tawhid.Masaha004555-ara1 | 0145MufaddalIbnCumarJucfi.Tawhid.Rafed0000725-ara1 | 0145MufaddalIbnCumarJucfi.Tawhid.Shia001267-ara1 | 0145MufaddalIbnCumarJucfi.Tawhid.Zaydiyya0000117-ara1,4
openiti:0150AbuHanifa.FiqhAbsat,0150AbuHanifa.FiqhAbsat,Multiple OpenITI digital versions of one work,0150AbuHanifa.FiqhAbsat.JK006837-ara1 | 0150AbuHanifa.FiqhAbsat.Shamela0006387-ara1,2
openiti:0150AbuHanifa.FiqhAkbar,0150AbuHanifa.FiqhAkbar,Multiple OpenITI digital versions of one work,0150AbuHanifa.FiqhAkbar.JK001085-ara1 | 0150AbuHanifa.FiqhAkbar.Shamela0006388-ara1,2
openiti:0150IbnJurayj.Juz,0150IbnJurayj.Juz,Multiple OpenITI digital versions of one work,0150IbnJurayj.Juz.JK011476-ara1 | 0150IbnJurayj.Juz.ShamAY0033605-ara1,2
openiti:0150MuqatilIbnSulayman.TafsirMuqatil,0150MuqatilIbnSulayman.TafsirMuqatil,Multiple OpenITI digital versions of one work,0150MuqatilIbnSulayman.TafsirMuqatil.JK007096-ara1 | 0150MuqatilIbnSulayman.TafsirMuqatil.ShamAY0034072-ara1 | 0150MuqatilIbnSulayman.TafsirMuqatil.Shamela0023614-ara2 | 0150MuqatilIbnSulayman.TafsirMuqatil.Shia002459Vols-ara1 | 0150MuqatilIbnSulayman.TafsirMuqatil.Tafsir02067-ara1,5
openiti:0150SalihIbnJinahLakhmi.AdabMurua,0150SalihIbnJinahLakhmi.AdabMurua,Multiple OpenITI digital versions of one work,0150SalihIbnJinahLakhmi.AdabMurua.Sham19Y0017869-ara1 | 0150SalihIbnJinahLakhmi.AdabMurua.ShamAY0038879-ara1,2
openiti:0151IbnIshaq.Sira,0151IbnIshaq.Sira,Multiple OpenITI digital versions of one work,0151IbnIshaq.Sira.JK001038-ara1 | 0151IbnIshaq.Sira.Masaha002221-ara1 | 0151IbnIshaq.Sira.Shamela0009862-ara2 | 0151IbnIshaq.Sira.Shia003660Vols-ara1,4
openiti:0151MacmarIbnRashid.Jamic,0151MacmarIbnRashid.Jamic,Multiple OpenITI digital versions of one work,0151MacmarIbnRashid.Jamic.JK000746-ara1 | 0151MacmarIbnRashid.Jamic.Shamela0005610-ara1,2
